 P_len/AD_len(bytes),                   0,                  15,                  30,                  45,                  60,                  75,                  90,                 105,                 120,                 135,                 150,                 165,                 180,                 195,                 210,                 225,                 240,                 255,                 270,                 285,                 300,                 315,                 330,                 345,                 360,                 375,                 390,                 405,                 420,                 435,                 450,                 465,                 480,                 495,                 510,                 525,                 540,                 555,                 570,                 585,                 600,                 615,                 630,                 645,                 660,                 675,                 690,                 705,                 720,                 735,                 750,                 765,                 780,                 795,                 810,                 825,                 840,                 855,                 870,                 885,                 900,                 915,                 930,                 945,                 960,
                  16,     10.20 (  0.68%),      7.50 (  0.43%),      6.60 (  0.50%),      6.00 (  0.47%),      5.60 (  0.41%),      4.40 (  0.39%),      4.50 (  0.36%),      4.40 (  0.34%),      4.40 (  0.31%),      3.60 (  0.35%),      3.80 (  0.33%),      3.80 (  0.32%),      3.80 (  0.34%),      3.30 (  0.36%),      3.50 (  0.26%),      3.50 (  0.28%),      3.20 (  0.51%),      3.30 (  0.30%),      3.00 (  0.28%),      3.10 (  0.29%),      3.10 (  0.27%),      3.20 (  0.28%),      2.90 (  0.30%),      3.00 (  0.26%),      3.00 (  0.26%),      3.10 (  0.45%),      2.80 (  0.27%),      2.90 (  0.25%),      3.00 (  0.26%),      3.00 (  0.24%),      2.80 (  0.32%),      2.90 (  0.24%),      2.70 (  0.44%),      2.80 (  0.25%),      2.90 (  0.25%),      2.70 (  0.25%),      2.80 (  0.24%),      2.80 (  0.24%),      2.80 (  0.39%),      2.70 (  0.24%),      2.70 (  0.24%),      2.80 (  0.27%),      2.80 (  0.23%),      2.70 (  0.36%),      2.70 (  0.24%),      2.70 (  0.23%),      2.80 (  0.24%),      2.70 (  0.24%),      2.60 (  0.37%),      2.60 (  0.22%),      2.70 (  0.22%),      2.70 (  0.27%),      2.60 (  0.35%),      2.60 (  0.23%),      2.70 (  0.23%),      2.70 (  0.24%),      2.60 (  0.41%),      2.60 (  0.23%),      2.70 (  0.21%),      2.70 (  0.26%),      2.60 (  0.35%),      2.60 (  0.22%),      2.60 (  0.23%),      2.70 (  0.28%),      2.50 (  0.24%),
                  32,      7.00 (  0.54%),      6.30 (  0.44%),      5.90 (  0.51%),      5.50 (  0.42%),      5.30 (  0.45%),      4.30 (  0.36%),      4.40 (  0.34%),      4.40 (  0.36%),      4.30 (  0.45%),      3.70 (  0.35%),      3.80 (  0.33%),      3.80 (  0.31%),      3.80 (  0.48%),      3.40 (  0.31%),      3.50 (  0.29%),      3.50 (  0.32%),      3.20 (  0.32%),      3.30 (  0.31%),      3.00 (  0.32%),      3.10 (  0.30%),      3.20 (  0.27%),      3.20 (  0.42%),      3.00 (  0.30%),      3.00 (  0.28%),      3.10 (  0.27%),      3.10 (  0.26%),      2.90 (  0.25%),      3.00 (  0.24%),      3.00 (  0.26%),      3.00 (  0.36%),      2.80 (  0.25%),      2.90 (  0.24%),      2.80 (  0.25%),      2.80 (  0.25%),      2.90 (  0.25%),      2.70 (  0.38%),      2.80 (  0.24%),      2.80 (  0.23%),      2.90 (  0.28%),      2.70 (  0.26%),      2.80 (  0.38%),      2.80 (  0.23%),      2.80 (  0.23%),      2.70 (  0.24%),      2.70 (  0.21%),      2.80 (  0.35%),      2.80 (  0.22%),      2.70 (  0.23%),      2.60 (  0.28%),      2.70 (  0.35%),      2.70 (  0.24%),      2.70 (  0.23%),      2.60 (  0.24%),      2.70 (  0.33%),      2.70 (  0.23%),      2.70 (  0.21%),      2.60 (  0.25%),      2.70 (  0.35%),      2.70 (  0.22%),      2.70 (  0.21%),      2.60 (  0.22%),      2.60 (  0.32%),      2.70 (  0.19%),      2.70 (  0.24%),      2.50 (  0.29%),
                  48,      6.00 (  0.56%),      5.70 (  0.45%),      5.50 (  0.42%),      5.30 (  0.46%),      5.10 (  0.39%),      4.30 (  0.39%),      4.30 (  0.34%),      4.30 (  0.34%),      4.30 (  0.34%),      3.70 (  0.35%),      3.80 (  0.33%),      3.80 (  0.33%),      3.80 (  0.28%),      3.40 (  0.39%),      3.50 (  0.38%),      3.50 (  0.29%),      3.30 (  0.33%),      3.30 (  0.28%),      3.10 (  0.29%),      3.20 (  0.27%),      3.20 (  0.32%),      3.20 (  0.27%),      3.00 (  0.40%),      3.10 (  0.26%),      3.10 (  0.27%),      3.10 (  0.28%),      2.90 (  0.25%),      3.00 (  0.26%),      3.00 (  0.26%),      3.10 (  0.41%),      2.90 (  0.26%),      2.90 (  0.23%),      2.80 (  0.27%),      2.90 (  0.30%),      2.90 (  0.24%),      2.80 (  0.37%),      2.80 (  0.25%),      2.80 (  0.24%),      2.90 (  0.24%),      2.70 (  0.24%),      2.80 (  0.35%),      2.80 (  0.23%),      2.80 (  0.56%),      2.70 (  0.29%),      2.80 (  0.22%),      2.80 (  0.32%),      2.80 (  0.22%),      2.70 (  0.23%),      2.60 (  0.23%),      2.70 (  0.35%),      2.70 (  0.24%),      2.70 (  0.21%),      2.60 (  0.28%),      2.70 (  0.33%),      2.70 (  0.22%),      2.70 (  0.21%),      2.60 (  0.22%),      2.70 (  0.34%),      2.70 (  0.21%),      2.70 (  0.25%),      2.60 (  0.32%),      2.70 (  0.21%),      2.70 (  0.21%),      2.70 (  0.22%),      2.60 (  0.35%),
                  64,      4.10 (  0.42%),      4.50 (  0.31%),      4.50 (  0.39%),      4.40 (  0.46%),      4.40 (  0.35%),      3.60 (  0.32%),      3.90 (  0.28%),      3.90 (  0.31%),      3.90 (  0.37%),      3.30 (  0.29%),      3.50 (  0.27%),      3.50 (  0.28%),      3.50 (  0.38%),      3.10 (  0.29%),      3.30 (  0.29%),      3.30 (  0.27%),      3.00 (  0.26%),      3.20 (  0.28%),      2.90 (  0.27%),      3.00 (  0.26%),      3.00 (  0.26%),      3.10 (  0.41%),      2.80 (  0.26%),      2.90 (  0.25%),      3.00 (  0.24%),      3.00 (  0.25%),      2.80 (  0.32%),      2.90 (  0.24%),      2.90 (  0.39%),      2.90 (  0.24%),      2.80 (  0.24%),      2.80 (  0.22%),      2.70 (  0.24%),      2.80 (  0.22%),      2.80 (  0.34%),      2.70 (  0.24%),      2.70 (  0.21%),      2.80 (  0.22%),      2.80 (  0.26%),      2.60 (  0.37%),      2.70 (  0.23%),      2.70 (  0.22%),      2.80 (  0.22%),      2.60 (  0.23%),      2.70 (  0.33%),      2.70 (  0.22%),      2.80 (  0.23%),      2.60 (  0.27%),      2.60 (  0.32%),      2.60 (  0.21%),      2.70 (  0.20%),      2.70 (  0.21%),      2.60 (  0.30%),      2.60 (  0.22%),      2.70 (  0.20%),      2.70 (  0.25%),      2.60 (  0.34%),      2.60 (  0.21%),      2.60 (  0.19%),      2.70 (  0.21%),      2.60 (  0.34%),      2.60 (  0.22%),      2.60 (  0.23%),      2.70 (  0.31%),      2.50 (  0.21%),
                  80,      4.00 (  0.39%),      4.40 (  0.30%),      4.40 (  0.40%),      4.40 (  0.39%),      4.30 (  0.38%),      3.70 (  0.36%),      3.90 (  0.31%),      3.90 (  0.31%),      3.90 (  0.30%),      3.30 (  0.50%),      3.50 (  0.37%),      3.50 (  0.27%),      3.60 (  0.30%),      3.20 (  0.28%),      3.30 (  0.27%),      3.30 (  0.28%),      3.10 (  0.34%),      3.20 (  0.28%),      2.90 (  0.27%),      3.00 (  0.46%),      3.10 (  0.27%),      3.10 (  0.25%),      2.90 (  0.26%),      3.00 (  0.25%),      3.00 (  0.26%),      3.00 (  0.25%),      2.80 (  0.41%),      2.90 (  0.24%),      2.90 (  0.24%),      3.00 (  0.24%),      2.80 (  0.30%),      2.90 (  0.23%),      2.70 (  0.35%),      2.80 (  0.23%),      2.90 (  0.25%),      2.70 (  0.26%),      2.80 (  0.24%),      2.80 (  0.36%),      2.80 (  0.24%),      2.70 (  0.23%),      2.80 (  0.24%),      2.80 (  0.23%),      2.80 (  0.34%),      2.70 (  0.23%),      2.70 (  0.23%),      2.80 (  0.22%),      2.80 (  0.32%),      2.70 (  0.22%),      2.60 (  0.21%),      2.70 (  0.27%),      2.70 (  0.30%),      2.70 (  0.24%),      2.60 (  0.23%),      2.70 (  0.22%),      2.70 (  0.30%),      2.70 (  0.20%),      2.60 (  0.22%),      2.60 (  0.26%),      2.70 (  0.32%),      2.70 (  0.21%),      2.60 (  0.21%),      2.60 (  0.30%),      2.70 (  0.21%),      2.70 (  0.21%),      2.50 (  0.26%),
                  96,      4.00 (  0.39%),      4.30 (  0.56%),      4.40 (  0.39%),      4.30 (  0.38%),      4.30 (  0.33%),      3.70 (  0.31%),      3.90 (  0.31%),      3.90 (  0.29%),      3.90 (  0.33%),      3.40 (  0.30%),      3.50 (  0.29%),      3.60 (  0.33%),      3.60 (  0.33%),      3.20 (  0.43%),      3.30 (  0.28%),      3.40 (  0.27%),      3.10 (  0.26%),      3.20 (  0.29%),      3.00 (  0.32%),      3.10 (  0.29%),      3.10 (  0.28%),      3.10 (  0.43%),      2.90 (  0.26%),      3.00 (  0.25%),      3.00 (  0.25%),      3.10 (  0.25%),      2.90 (  0.26%),      2.90 (  0.42%),      3.00 (  0.29%),      3.00 (  0.25%),      2.80 (  0.26%),      2.90 (  0.28%),      2.80 (  0.24%),      2.80 (  0.39%),      2.90 (  0.25%),      2.70 (  0.23%),      2.80 (  0.22%),      2.80 (  0.24%),      2.90 (  0.37%),      2.70 (  0.22%),      2.80 (  0.23%),      2.80 (  0.27%),      2.80 (  0.34%),      2.70 (  0.26%),      2.80 (  0.22%),      2.80 (  0.22%),      2.80 (  0.23%),      2.70 (  0.34%),      2.60 (  0.23%),      2.70 (  0.25%),      2.70 (  0.22%),      2.70 (  0.31%),      2.60 (  0.22%),      2.70 (  0.21%),      2.70 (  0.29%),      2.70 (  0.23%),      2.60 (  0.21%),      2.70 (  0.26%),      2.70 (  0.32%),      2.70 (  0.20%),      2.60 (  0.21%),      2.70 (  0.31%),      2.70 (  0.19%),      2.70 (  0.23%),      2.50 (  0.21%),
                 112,      4.00 (  0.54%),      4.30 (  0.37%),      4.30 (  0.37%),      4.30 (  0.38%),      4.30 (  0.35%),      3.70 (  0.33%),      3.90 (  0.29%),      3.90 (  0.31%),      3.90 (  0.31%),      3.40 (  0.29%),      3.50 (  0.27%),      3.60 (  0.40%),      3.60 (  0.32%),      3.20 (  0.29%),      3.40 (  0.28%),      3.40 (  0.24%),      3.10 (  0.27%),      3.30 (  0.32%),      3.00 (  0.26%),      3.10 (  0.42%),      3.10 (  0.31%),      3.20 (  0.26%),      2.90 (  0.26%),      3.00 (  0.25%),      3.10 (  0.26%),      3.10 (  0.24%),      2.90 (  0.45%),      3.00 (  0.26%),      3.00 (  0.23%),      3.00 (  0.24%),      2.80 (  0.30%),      2.90 (  0.38%),      2.80 (  0.27%),      2.90 (  0.25%),      2.90 (  0.25%),      2.70 (  0.25%),      2.80 (  0.35%),      2.80 (  0.25%),      2.90 (  0.22%),      2.70 (  0.24%),      2.80 (  0.25%),      2.80 (  0.37%),      2.80 (  0.22%),      2.70 (  0.22%),      2.80 (  0.21%),      2.80 (  0.34%),      2.80 (  0.22%),      2.70 (  0.21%),      2.60 (  0.25%),      2.70 (  0.32%),      2.70 (  0.21%),      2.80 (  0.20%),      2.60 (  0.21%),      2.70 (  0.31%),      2.70 (  0.20%),      2.70 (  0.25%),      2.60 (  0.30%),      2.70 (  0.21%),      2.70 (  0.20%),      2.70 (  0.21%),      2.60 (  0.29%),      2.70 (  0.19%),      2.70 (  0.23%),      2.70 (  0.30%),      2.50 (  0.21%),
                 128,      3.20 (  0.26%),      3.60 (  0.31%),      3.70 (  0.32%),      3.70 (  0.34%),      3.70 (  0.32%),      3.20 (  0.28%),      3.40 (  0.25%),      3.50 (  0.45%),      3.50 (  0.29%),      3.10 (  0.26%),      3.20 (  0.26%),      3.30 (  0.26%),      3.30 (  0.28%),      3.00 (  0.24%),      3.10 (  0.27%),      3.20 (  0.25%),      2.90 (  0.42%),      3.00 (  0.26%),      2.80 (  0.25%),      2.90 (  0.24%),      2.90 (  0.25%),      3.00 (  0.24%),      2.80 (  0.26%),      2.90 (  0.38%),      2.90 (  0.27%),      2.90 (  0.23%),      2.70 (  0.22%),      2.80 (  0.23%),      2.90 (  0.25%),      2.90 (  0.38%),      2.70 (  0.26%),      2.80 (  0.22%),      2.70 (  0.22%),      2.70 (  0.23%),      2.80 (  0.23%),      2.60 (  0.32%),      2.70 (  0.21%),      2.70 (  0.21%),      2.80 (  0.26%),      2.60 (  0.32%),      2.70 (  0.24%),      2.70 (  0.21%),      2.70 (  0.22%),      2.60 (  0.24%),      2.70 (  0.33%),      2.70 (  0.20%),      2.70 (  0.20%),      2.60 (  0.23%),      2.60 (  0.32%),      2.60 (  0.20%),      2.60 (  0.21%),      2.70 (  0.20%),      2.60 (  0.33%),      2.60 (  0.21%),      2.60 (  0.26%),      2.70 (  0.28%),      2.60 (  0.20%),      2.60 (  0.19%),      2.60 (  0.20%),      2.70 (  0.32%),      2.60 (  0.19%),      2.60 (  0.23%),      2.60 (  0.30%),      2.60 (  0.19%),      2.50 (  0.20%),
                 144,      3.30 (  0.36%),      3.60 (  0.29%),      3.70 (  0.33%),      3.70 (  0.49%),      3.70 (  0.35%),      3.30 (  0.32%),      3.50 (  0.28%),      3.50 (  0.27%),      3.50 (  0.28%),      3.10 (  0.28%),      3.30 (  0.33%),      3.30 (  0.28%),      3.30 (  0.25%),      3.00 (  0.45%),      3.20 (  0.29%),      3.20 (  0.27%),      3.00 (  0.26%),      3.10 (  0.24%),      2.80 (  0.25%),      2.90 (  0.26%),      3.00 (  0.32%),      3.00 (  0.29%),      2.80 (  0.25%),      2.90 (  0.24%),      2.90 (  0.23%),      3.00 (  0.30%),      2.80 (  0.26%),      2.90 (  0.43%),      2.90 (  0.25%),      2.90 (  0.23%),      2.70 (  0.25%),      2.80 (  0.23%),      2.70 (  0.39%),      2.80 (  0.24%),      2.80 (  0.24%),      2.70 (  0.27%),      2.70 (  0.23%),      2.80 (  0.37%),      2.80 (  0.21%),      2.70 (  0.23%),      2.70 (  0.23%),      2.70 (  0.34%),      2.80 (  0.24%),      2.60 (  0.22%),      2.70 (  0.24%),      2.70 (  0.29%),      2.80 (  0.24%),      2.60 (  0.22%),      2.60 (  0.23%),      2.60 (  0.30%),      2.70 (  0.23%),      2.70 (  0.21%),      2.60 (  0.27%),      2.60 (  0.30%),      2.70 (  0.21%),      2.70 (  0.22%),      2.60 (  0.22%),      2.60 (  0.21%),      2.60 (  0.20%),      2.70 (  0.26%),      2.60 (  0.32%),      2.60 (  0.19%),      2.60 (  0.19%),      2.70 (  0.31%),      2.50 (  0.20%),
                 160,      3.40 (  0.33%),      3.60 (  0.26%),      3.70 (  0.37%),      3.70 (  0.35%),      3.80 (  0.32%),      3.30 (  0.28%),      3.50 (  0.47%),      3.50 (  0.29%),      3.60 (  0.29%),      3.20 (  0.28%),      3.30 (  0.25%),      3.30 (  0.28%),      3.40 (  0.27%),      3.10 (  0.28%),      3.20 (  0.33%),      3.20 (  0.29%),      3.00 (  0.25%),      3.10 (  0.24%),      2.90 (  0.24%),      3.00 (  0.28%),      3.00 (  0.26%),      3.00 (  0.38%),      2.80 (  0.26%),      2.90 (  0.24%),      3.00 (  0.24%),      3.00 (  0.23%),      2.80 (  0.24%),      2.90 (  0.39%),      2.90 (  0.26%),      2.90 (  0.23%),      2.80 (  0.24%),      2.90 (  0.28%),      2.70 (  0.37%),      2.80 (  0.23%),      2.80 (  0.24%),      2.70 (  0.24%),      2.80 (  0.23%),      2.80 (  0.34%),      2.80 (  0.23%),      2.70 (  0.21%),      2.80 (  0.27%),      2.80 (  0.31%),      2.80 (  0.22%),      2.70 (  0.20%),      2.70 (  0.22%),      2.80 (  0.32%),      2.80 (  0.20%),      2.70 (  0.20%),      2.60 (  0.26%),      2.70 (  0.31%),      2.70 (  0.23%),      2.70 (  0.20%),      2.60 (  0.21%),      2.70 (  0.33%),      2.70 (  0.19%),      2.70 (  0.25%),      2.60 (  0.31%),      2.70 (  0.19%),      2.70 (  0.19%),      2.70 (  0.33%),      2.60 (  0.20%),      2.60 (  0.18%),      2.70 (  0.31%),      2.70 (  0.22%),      2.50 (  0.21%),
