Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                   0,    307.50,     39.37,     20.48,     12.16,      7.24,      5.46,      3.30,      2.39,      1.89,      1.68,      1.55,      1.50,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                  16,     23.81,     21.47,     14.87,     10.57,      6.94,      5.38,      3.30,      2.42,      1.91,      1.69,      1.56,      1.50,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                  32,     14.22,      9.69,     11.90,      8.26,      6.20,      5.07,      3.36,      2.36,      1.88,      1.68,      1.56,      1.51,      1.50,      1.49,      1.49,      1.50,      1.51,      1.51,
                  64,      9.24,      7.43,      6.32,      7.05,      5.49,      4.86,      3.34,      2.45,      1.95,      1.69,      1.56,      1.51,      1.50,      1.49,      1.49,      1.50,      1.51,      1.51,
                 128,      6.32,      5.68,      5.14,      4.32,      4.45,      3.76,      3.22,      2.44,      1.96,      1.70,      1.57,      1.51,      1.51,      1.49,      1.49,      1.50,      1.51,      1.51,
                 256,      4.53,      4.28,      4.05,      3.67,      3.07,      3.54,      2.63,      2.18,      1.84,      1.63,      1.54,      1.50,      1.50,      1.49,      1.48,      1.50,      1.51,      1.51,
                 512,      3.65,      3.55,      3.46,      3.28,      2.97,      2.51,      2.47,      2.05,      1.80,      1.62,      1.53,      1.50,      1.50,      1.48,      1.49,      1.50,      1.51,      1.51,
                1024,      3.20,      3.15,      3.10,      3.02,      2.86,      2.60,      2.19,      1.95,      1.72,      1.59,      1.52,      1.49,      1.50,      1.48,      1.49,      1.50,      1.51,      1.51,
                2048,      2.99,      2.96,      2.94,      2.90,      2.82,      2.68,      2.42,      2.03,      1.69,      1.57,      1.52,      1.49,      1.49,      1.48,      1.49,      1.50,      1.51,      1.51,
                4096,      2.88,      2.87,      2.86,      2.84,      2.80,      2.72,      2.58,      2.33,      1.96,      1.56,      1.51,      1.50,      1.49,      1.48,      1.48,      1.50,      1.51,      1.51,
                8192,      2.83,      2.82,      2.81,      2.80,      2.79,      2.75,      2.67,      2.53,      2.29,      1.92,      1.49,      1.49,      1.49,      1.48,      1.48,      1.50,      1.51,      1.51,
               16384,      2.80,      2.80,      2.80,      2.79,      2.78,      2.77,      2.72,      2.65,      2.51,      2.27,      1.92,      1.47,      1.47,      1.47,      1.48,      1.50,      1.51,      1.51,
               32768,      2.80,      2.80,      2.80,      2.80,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.27,      1.91,      1.47,      1.47,      1.48,      1.50,      1.51,      1.51,
               65536,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.91,      1.46,      1.47,      1.49,      1.50,      1.51,
              131072,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.92,      1.47,      1.49,      1.50,      1.50,
              262144,      2.79,      2.79,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.77,      2.75,      2.72,      2.64,      2.51,      2.27,      1.92,      1.47,      1.49,      1.50,
              524288,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.79,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.28,      1.92,      1.47,      1.48,
             1048576,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.79,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.28,      1.92,      1.47,

Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                   0,    310.00,     39.33,     20.48,     12.12,      7.21,      5.40,      3.27,      2.39,      1.90,      1.68,      1.55,      1.49,      1.50,      1.49,      1.50,      1.51,      1.51,      1.51,
                  16,     23.66,     21.39,     14.87,     10.53,      6.90,      5.32,      3.30,      2.42,      1.92,      1.69,      1.56,      1.50,      1.50,      1.49,      1.50,      1.51,      1.51,      1.51,
                  32,     14.20,      9.64,     11.88,      8.23,      6.21,      5.05,      3.37,      2.36,      1.88,      1.68,      1.56,      1.50,      1.50,      1.49,      1.50,      1.51,      1.51,      1.51,
                  64,      9.19,      7.47,      6.33,      7.04,      5.48,      4.75,      3.33,      2.45,      1.95,      1.69,      1.56,      1.51,      1.50,      1.49,      1.50,      1.51,      1.51,      1.51,
                 128,      6.34,      5.69,      5.16,      4.32,      4.46,      3.77,      3.22,      2.44,      1.96,      1.70,      1.57,      1.51,      1.50,      1.49,      1.50,      1.51,      1.51,      1.51,
                 256,      4.49,      4.25,      4.03,      3.65,      3.05,      3.53,      2.62,      2.18,      1.84,      1.63,      1.54,      1.50,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                 512,      3.63,      3.53,      3.43,      3.24,      2.94,      2.48,      2.48,      2.04,      1.80,      1.62,      1.53,      1.49,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                1024,      3.19,      3.14,      3.09,      3.01,      2.85,      2.59,      2.18,      1.95,      1.72,      1.59,      1.52,      1.49,      1.49,      1.49,      1.49,      1.51,      1.51,      1.51,
                2048,      2.99,      2.97,      2.95,      2.91,      2.83,      2.69,      2.43,      2.04,      1.69,      1.57,      1.52,      1.49,      1.49,      1.48,      1.49,      1.51,      1.51,      1.51,
                4096,      2.88,      2.87,      2.85,      2.84,      2.79,      2.72,      2.58,      2.33,      1.96,      1.56,      1.51,      1.50,      1.49,      1.48,      1.49,      1.51,      1.51,      1.51,
                8192,      2.83,      2.82,      2.81,      2.81,      2.79,      2.75,      2.67,      2.53,      2.29,      1.92,      1.49,      1.49,      1.48,      1.48,      1.49,      1.50,      1.51,      1.51,
               16384,      2.81,      2.80,      2.80,      2.80,      2.79,      2.77,      2.73,      2.65,      2.51,      2.28,      1.92,      1.48,      1.47,      1.47,      1.49,      1.50,      1.51,      1.51,
               32768,      2.80,      2.80,      2.80,      2.80,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.27,      1.92,      1.47,      1.47,      1.49,      1.50,      1.51,      1.51,
               65536,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.91,      1.46,      1.48,      1.49,      1.50,      1.51,
              131072,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.91,      1.47,      1.48,      1.50,      1.50,
              262144,      2.79,      2.79,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.92,      1.47,      1.48,      1.50,
              524288,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.79,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.28,      1.92,      1.47,      1.48,
             1048576,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.79,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.28,      1.92,      1.47,

Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                   0,    310.50,     39.70,     20.67,     12.22,      7.28,      5.42,      3.26,      2.39,      1.90,      1.68,      1.55,      1.50,      1.50,      1.48,      1.49,      1.51,      1.51,      1.51,
                  16,     23.88,     21.42,     14.92,     10.55,      6.88,      5.32,      3.30,      2.42,      1.92,      1.69,      1.56,      1.50,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                  32,     14.20,      9.68,     11.85,      8.22,      6.20,      5.05,      3.35,      2.37,      1.89,      1.68,      1.56,      1.51,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                  64,      9.21,      7.47,      6.32,      7.05,      5.49,      4.68,      3.33,      2.46,      1.95,      1.69,      1.56,      1.51,      1.50,      1.49,      1.49,      1.50,      1.51,      1.51,
                 128,      6.33,      5.68,      5.12,      4.31,      4.45,      3.76,      3.21,      2.45,      1.96,      1.70,      1.57,      1.51,      1.50,      1.49,      1.49,      1.51,      1.51,      1.51,
                 256,      4.50,      4.26,      4.03,      3.65,      3.05,      3.52,      2.62,      2.18,      1.84,      1.63,      1.54,      1.50,      1.50,      1.49,      1.49,      1.50,      1.51,      1.51,
                 512,      3.63,      3.53,      3.43,      3.24,      2.94,      2.47,      2.47,      2.05,      1.79,      1.62,      1.53,      1.50,      1.49,      1.48,      1.49,      1.50,      1.51,      1.51,
                1024,      3.20,      3.15,      3.11,      3.02,      2.87,      2.59,      2.19,      1.96,      1.73,      1.59,      1.52,      1.50,      1.49,      1.48,      1.49,      1.50,      1.51,      1.51,
                2048,      2.99,      2.97,      2.95,      2.91,      2.82,      2.69,      2.42,      2.03,      1.69,      1.57,      1.52,      1.49,      1.49,      1.48,      1.49,      1.50,      1.51,      1.51,
                4096,      2.88,      2.87,      2.85,      2.83,      2.79,      2.72,      2.57,      2.33,      1.96,      1.56,      1.50,      1.50,      1.49,      1.48,      1.49,      1.50,      1.51,      1.51,
                8192,      2.83,      2.83,      2.82,      2.81,      2.79,      2.75,      2.68,      2.53,      2.29,      1.93,      1.50,      1.49,      1.48,      1.48,      1.49,      1.50,      1.51,      1.51,
               16384,      2.81,      2.81,      2.81,      2.80,      2.79,      2.77,      2.73,      2.66,      2.52,      2.28,      1.92,      1.48,      1.47,      1.48,      1.49,      1.50,      1.51,      1.51,
               32768,      2.80,      2.80,      2.80,      2.80,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.27,      1.91,      1.46,      1.47,      1.49,      1.50,      1.51,      1.51,
               65536,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.91,      1.46,      1.48,      1.49,      1.50,      1.51,
              131072,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.78,      2.77,      2.75,      2.71,      2.64,      2.50,      2.27,      1.92,      1.47,      1.49,      1.50,      1.50,
              262144,      2.79,      2.79,      2.79,      2.79,      2.79,      2.79,      2.79,      2.78,      2.77,      2.75,      2.72,      2.64,      2.51,      2.27,      1.92,      1.47,      1.49,      1.50,
              524288,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.79,      2.79,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.28,      1.92,      1.47,      1.48,
             1048576,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.80,      2.79,      2.79,      2.78,      2.76,      2.72,      2.65,      2.51,      2.28,      1.92,      1.47,

Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                   0,    308.50,     39.30,     20.52,     12.13,      7.22,      5.42,      3.27,      2.41,      1.92,      1.72,      1.60,      1.53,      1.52,      1.50,      1.50,      1.51,      1.51,      1.51,
                  16,     23.91,     21.48,     14.92,     10.53,      6.92,      5.36,      3.31,      2.45,      1.94,      1.73,      1.61,      1.53,      1.52,      1.51,      1.50,      1.51,      1.51,      1.51,
